,Year,Timesteps,Region,Technology,Carrier,Value
88,2028,17,reg1,Pump_hydro_ST,Electricity,0.0
89,2028,18,reg1,Pump_hydro_ST,Electricity,0.0
90,2028,19,reg1,Pump_hydro_ST,Electricity,0.0
91,2028,20,reg1,Pump_hydro_ST,Electricity,0.0
92,2028,21,reg1,Pump_hydro_ST,Electricity,0.0
93,2028,22,reg1,Pump_hydro_ST,Electricity,0.0
94,2028,23,reg1,Pump_hydro_ST,Electricity,0.0
95,2028,24,reg1,Pump_hydro_ST,Electricity,0.0
96,2029,1,reg1,Pump_hydro_ST,Electricity,0.0
97,2029,2,reg1,Pump_hydro_ST,Electricity,0.0
98,2029,3,reg1,Pump_hydro_ST,Electricity,0.0
99,2029,4,reg1,Pump_hydro_ST,Electricity,374.48001941957773
100,2029,5,reg1,Pump_hydro_ST,Electricity,1146.764456009316
101,2029,6,reg1,Pump_hydro_ST,Electricity,2369.7625
102,2029,7,reg1,Pump_hydro_ST,Electricity,2369.7625
103,2029,8,reg1,Pump_hydro_ST,Electricity,997.6994235699965
104,2029,9,reg1,Pump_hydro_ST,Electricity,0.0
105,2029,10,reg1,Pump_hydro_ST,Electricity,0.0
106,2029,11,reg1,Pump_hydro_ST,Electricity,0.0
107,2029,12,reg1,Pump_hydro_ST,Electricity,0.0
108,2029,13,reg1,Pump_hydro_ST,Electricity,0.0
109,2029,14,reg1,Pump_hydro_ST,Electricity,0.0
110,2029,15,reg1,Pump_hydro_ST,Electricity,0.0
111,2029,16,reg1,Pump_hydro_ST,Electricity,0.0
112,2029,17,reg1,Pump_hydro_ST,Electricity,0.0
113,2029,18,reg1,Pump_hydro_ST,Electricity,0.0
114,2029,19,reg1,Pump_hydro_ST,Electricity,0.0
115,2029,20,reg1,Pump_hydro_ST,Electricity,0.0
116,2029,21,reg1,Pump_hydro_ST,Electricity,0.0
117,2029,22,reg1,Pump_hydro_ST,Electricity,0.0
118,2029,23,reg1,Pump_hydro_ST,Electricity,0.0
119,2029,24,reg1,Pump_hydro_ST,Electricity,0.0
120,2030,1,reg1,Pump_hydro_ST,Electricity,0.0
121,2030,2,reg1,Pump_hydro_ST,Electricity,0.0
122,2030,3,reg1,Pump_hydro_ST,Electricity,0.0
123,2030,4,reg1,Pump_hydro_ST,Electricity,0.0
124,2030,5,reg1,Pump_hydro_ST,Electricity,2369.7625
125,2030,6,reg1,Pump_hydro_ST,Electricity,2369.7625
126,2030,7,reg1,Pump_hydro_ST,Electricity,2369.7625
127,2030,8,reg1,Pump_hydro_ST,Electricity,2352.810043130842
128,2030,9,reg1,Pump_hydro_ST,Electricity,1083.125859036843
129,2030,10,reg1,Pump_hydro_ST,Electricity,0.0
130,2030,11,reg1,Pump_hydro_ST,Electricity,0.0
131,2030,12,reg1,Pump_hydro_ST,Electricity,0.0
132,2030,13,reg1,Pump_hydro_ST,Electricity,0.0
