,Datetime,Region,Technology,Tech category,Value
0,2025,reg1,NG_supply,Supply,10000000000.0
1,2026,reg1,NG_supply,Supply,10000000000.0
2,2027,reg1,NG_supply,Supply,10000000000.0
3,2028,reg1,NG_supply,Supply,10000000000.0
4,2029,reg1,NG_supply,Supply,10000000000.0
5,2030,reg1,NG_supply,Supply,10000000000.0
6,2031,reg1,NG_supply,Supply,10000000000.0
7,2032,reg1,NG_supply,Supply,10000000000.0
8,2033,reg1,NG_supply,Supply,10000000000.0
9,2034,reg1,NG_supply,Supply,10000000000.0
10,2035,reg1,NG_supply,Supply,10000000000.0
11,2036,reg1,NG_supply,Supply,10000000000.0
12,2037,reg1,NG_supply,Supply,10000000000.0
13,2038,reg1,NG_supply,Supply,10000000000.0
14,2039,reg1,NG_supply,Supply,10000000000.0
15,2040,reg1,NG_supply,Supply,10000000000.0
16,2041,reg1,NG_supply,Supply,10000000000.0
17,2042,reg1,NG_supply,Supply,10000000000.0
18,2043,reg1,NG_supply,Supply,10000000000.0
19,2044,reg1,NG_supply,Supply,10000000000.0
20,2045,reg1,NG_supply,Supply,10000000000.0
21,2046,reg1,NG_supply,Supply,10000000000.0
22,2047,reg1,NG_supply,Supply,10000000000.0
23,2048,reg1,NG_supply,Supply,10000000000.0
24,2049,reg1,NG_supply,Supply,10000000000.0
25,2050,reg1,NG_supply,Supply,10000000000.0
26,2051,reg1,NG_supply,Supply,10000000000.0
27,2052,reg1,NG_supply,Supply,10000000000.0
28,2053,reg1,NG_supply,Supply,10000000000.0
29,2054,reg1,NG_supply,Supply,10000000000.0
30,2055,reg1,NG_supply,Supply,10000000000.0
31,2056,reg1,NG_supply,Supply,10000000000.0
32,2057,reg1,NG_supply,Supply,10000000000.0
33,2058,reg1,NG_supply,Supply,10000000000.0
34,2059,reg1,NG_supply,Supply,10000000000.0
35,2060,reg1,NG_supply,Supply,10000000000.0
36,2025,reg1,SFF_supply,Supply,10000000000.0
37,2026,reg1,SFF_supply,Supply,10000000000.0
38,2027,reg1,SFF_supply,Supply,10000000000.0
39,2028,reg1,SFF_supply,Supply,10000000000.0
40,2029,reg1,SFF_supply,Supply,10000000000.0
