,Datetime,Region,Technology,Cost,Value
120,2037,reg1,BW_supply,fixed_cost,0.0
121,2038,reg1,BW_supply,fixed_cost,0.0
122,2039,reg1,BW_supply,fixed_cost,0.0
123,2040,reg1,BW_supply,fixed_cost,0.0
124,2041,reg1,BW_supply,fixed_cost,0.0
125,2042,reg1,BW_supply,fixed_cost,0.0
126,2043,reg1,BW_supply,fixed_cost,0.0
127,2044,reg1,BW_supply,fixed_cost,0.0
128,2045,reg1,BW_supply,fixed_cost,0.0
129,2046,reg1,BW_supply,fixed_cost,0.0
130,2047,reg1,BW_supply,fixed_cost,0.0
131,2048,reg1,BW_supply,fixed_cost,0.0
132,2049,reg1,BW_supply,fixed_cost,0.0
133,2050,reg1,BW_supply,fixed_cost,0.0
134,2051,reg1,BW_supply,fixed_cost,0.0
135,2052,reg1,BW_supply,fixed_cost,0.0
136,2053,reg1,BW_supply,fixed_cost,0.0
137,2054,reg1,BW_supply,fixed_cost,0.0
138,2055,reg1,BW_supply,fixed_cost,0.0
139,2056,reg1,BW_supply,fixed_cost,0.0
140,2057,reg1,BW_supply,fixed_cost,0.0
141,2058,reg1,BW_supply,fixed_cost,0.0
142,2059,reg1,BW_supply,fixed_cost,0.0
143,2060,reg1,BW_supply,fixed_cost,0.0
144,2025,reg1,BIO_supply,fixed_cost,0.0
145,2026,reg1,BIO_supply,fixed_cost,0.0
146,2027,reg1,BIO_supply,fixed_cost,0.0
147,2028,reg1,BIO_supply,fixed_cost,0.0
148,2029,reg1,BIO_supply,fixed_cost,0.0
149,2030,reg1,BIO_supply,fixed_cost,0.0
150,2031,reg1,BIO_supply,fixed_cost,0.0
151,2032,reg1,BIO_supply,fixed_cost,0.0
152,2033,reg1,BIO_supply,fixed_cost,0.0
153,2034,reg1,BIO_supply,fixed_cost,0.0
154,2035,reg1,BIO_supply,fixed_cost,0.0
155,2036,reg1,BIO_supply,fixed_cost,0.0
156,2037,reg1,BIO_supply,fixed_cost,0.0
157,2038,reg1,BIO_supply,fixed_cost,0.0
158,2039,reg1,BIO_supply,fixed_cost,0.0
159,2040,reg1,BIO_supply,fixed_cost,0.0
